타임스탬프,한남대학교 AI융합학과 재학 혹은 다전공 여부를 선택해 주세요.,"아래의 좌석 배치도를 참고하여 본인이 강의실에서 주로 착석하는 위치를 선택해 주세요. 
(*타학과 학생의 경우 수강 인원 40명 이상 이상의 전공 과목을 기준으로 작성)",본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [1],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [2],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [3],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [4],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [5],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [6],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [7],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [8],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [9],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [10],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [11],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [12],본인의 성별을 입력해 주세요.,본인의  신장(cm)을 입력해 주세요.,"본인의  좌우 교정시력을 입력해 주세요.

<*좌우 교정시력 확인 방법>
1. [본인이 이용하는 안경원 전화 문의]
2. [한국건강관리협회 - 건강검진 - 예약안내 - 결과조회 ] [좌]","본인의  좌우 교정시력을 입력해 주세요.

<*좌우 교정시력 확인 방법>
1. [본인이 이용하는 안경원 전화 문의]
2. [한국건강관리협회 - 건강검진 - 예약안내 - 결과조회 ] [우]","총 평점 평균을 입력해 주세요.

<*평점 평균 확인 방법>
1. [HNU 하이포털 - 수업 - 전체성적조회 - 총 평점 평균]
2. [에브리타임 - 시간표 - 학점 계산기 - 평균 학점]","해당 강의 흥미도를 입력해 주세요.
(*강의 흥미도 : 강의 집중도와 수업 참여 의지가 높아질 정도의 흥미) ","해당 강의 교수님과의 친밀도를 입력해 주세요.
(*교수님과의 친밀도 : 교수님과의 상호작용, 교수님에 대한 신뢰도, 교수님의 지원과 도움의 정도 등을 전반적으로 고려한 본인의 주관적 평가)","본인의 MBTI 검사 결과를 입력해 주세요. 
(*내향성과 외향성만 선택해주시면 됩니다.)","해당 강의에서 함께 수업을 듣는 친구 수를 입력해 주세요.

(*친구 : 수업을 들을 때 함께 모여 앉는 친구 수를 작성해 주시면 됩니다. <본인 제외> )","본인의 대학 생활 만족도를 입력해 주세요.
(*본인의 대학 생활을 전반적으로 고려한 만족도)",본인이 선호하는 학습 방식을 입력해 주세요.,"수업 중 보조 도구로써 전자 기기 사용 여부를 입력해 주세요.

(*전자 기기 : 패드, 태블릿, 노트북 등)","강의 시작 전 강의실 도착 시간의 평균을 입력해 주세요.
(*분 단위로 숫자만 입력해 주세요 / 예:  60, 30, 5, 1(분 전))","수업 중 화장실 이용 빈도를 입력해 주세요.

(* 주차별 수업을 기준으로 하여 평균적으로 화장실을 이용하는 횟수)","수업 중 휴대폰 이용 빈도를 입력해 주세요.

(* 주차별 수업을 기준으로 평균적으로 수업 중 휴대폰을 확인하는 횟수) ","본인의 학번을 입력해 주세요. (*예: 22, 23, 24)",해당 강의의 재수강 여부를 입력해 주세요.,"본인이 강의실 좌석을 선택할 때 영향을 주는 요소가 있나요? 그 요소가 무엇인가요?
자유롭게 기술해 주세요.","봄, 여름, 가을, 겨울 중에 좋아하는 계절을 입력해 주세요.","당신의 생일은 몇 월인가요?
(1월~12월 중 숫자만 입력해 주세요!)",당신의 출생 지역(또는 가장 오래 생활한 지역)은 어디에 속하나요?,"당신의 일주일 평균 외출 횟수를 입력해 주세요.
(숫자만 입력해 주세요!)","당신은 땀이 많은 사람이며, 그로 인한 불쾌지수가 높은가요?",당신이 추위를 타는 정도를 표현해 주세요.,당신은 계절성 알레르기를 경험한 적이 있나요?,당신이 여행을 가게 된다면 가고 싶은 여행지는 돌 중 어디인가요?,당신은 사람들과의 모임이나 활동을 즐기시나요?,당신은 새로운 경험(도전)을 하시는 것을 좋아하시나요?,평소에 당신의 성격을 가장 가깝게 표현한 선택지를 골라주세요.,당신이 가장 좋아하는 색깔 계열은 무엇인가요?,당신이 선호하는 음악 장르가 무엇인가요?,당신이 선호하는 활동은 무엇인가요?,당신이 좋아하는 과일은 무엇인가요?,당신이 좋아하는 음식은 무엇인가요?,연애 횟수,나이(만 나이로 입력해 주세요),성별,고등학교 유형,짝사랑 경험 여부,자신이 느끼기에 주변에 커플이 많다/적다.,이성과 대화가 편하다./편하지 않다.,"현재 동아리, 학회 활동 여부",mbti 외향형(e)인지 내향형인지(i),미팅 소개팅 경험 유무,고백해본 경험이 있다/없다,이성에게 관심이 많다/적다,"
이성 친구 수",연애 상대를 고려할 때 외모 중요시 정도,외모에 신경 쓰는 정도,지난 학기 학점,출석 점수(출석을 잘했다 ->5),과제 점수 (과제를 잘 제출했다 ->5),성별,전공흥미도(흥미있다->5),앉는 자리 위치,주당 공부(복습) 시간 평균,주당 알바 시간,열람실 이용 횟수,저번 학기 교과 외 활동 참여 여부(공모전 등),지난 학기 전공이수학점 ex) 3시수 -> '3' 입력,지난학기 교양이수학점,지난학기 제 2전공(다전공) 이수학점,등교 소요 시간
6-13-2024 14:08:27,예,뒤,,,,,,,,,,,C,,여,158,1,1,3.5,4,4,외향성,2,4,개별 학습 선호,사용한다,1,0,2,23,재수강이 아니다.,교수님 눈에 띄지 않는 자리.. 질문 주셨을 때 대답 못 하는게 너무 수치..,겨울,1,대전 위 지방,5,8,4,아니오,노랗게 물든 나무와 갈대가 있는 호수,6,4,일단 바로 해보는 성격,푸른 계열,"댄스, 랩, 힙합","물 또는 눈에서 하는 활동 (서핑, 수영, 워터파크, 스키, 썰매 등)","딸기, 한라봉, 수박, 복숭아","화전, 냉면, 빙수, 열무국수",2,20,여,남고/여고,해봤다.,많다.,편하다,안함,외향형,경험이 없다.,있다,많다,5,중요하게 생각함,신경씀,3.7,5,5,여,5,뒤,10,0,3,참여 안함,6,11,0,10분
6-13-2024 14:47:47,예,뒤,,,,,,,,,D,,,,남,177,1,1,3.19,3,4,내향성,1,4,개별 학습 선호,사용한다,10분 전,0,1,23,재수강이 아니다.,자리가 없거나 친구랑 같이 앉으려고,가을,8,대전 아래 지방,5,8,5,아니오,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,7,7,일단 바로 해보는 성격,푸른 계열,해당 사항 없음,"걷는 활동 (등산, 캠핑, 여행 등)",해당 사항 없음,"송편, 호빵, 군고구마, 팥죽",1,19,남,남고/여고,해봤다.,많다.,편하다,안함,내향형,경험이 없다.,있다,많다,0,중요하게 생각함,신경안씀,2.87,2,5,남,3,뒤,5,0,0,참여 안함,6,14,0,5~10
6-13-2024 14:57:31,예,뒤,,,,,,,,,,,B,,여,163,0.9,0.9,4.07,2,2,내향성,2,3,개별 학습 선호,사용한다,1,0,2,23,재수강이 아니다.,교수님과 거리가 먼 곳,봄,4,대전 위 지방,7,7,3,아니오,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,8,9,일단 바로 해보는 성격,붉은 계열,클래식. 인디,"물 또는 눈에서 하는 활동 (서핑, 수영, 워터파크, 스키, 썰매 등)","딸기, 한라봉, 수박, 복숭아","송편, 호빵, 군고구마, 팥죽",2,22,여,남녀공학,해봤다.,많다.,편하다,함,내향형,경험이 없다.,있다,적다,0,중요하게 생각함,신경씀,4.19,5,5,여,3,뒤,8,34,0,참여 안함,6,6,0,15
6-13-2024 17:12:45,아니오,중간,,,,,E,,,,,,,,여,160,1,1,4.22,2,4,내향성,2명,4,그룹 학습 선호,사용하지 않는다,1분전,0,0,20,재수강이 아니다.,교수님이랑 가깝게 앉으면 질문할 것 같다. 교수님이랑 나랑만 있으면 괜찮은데 많은 사람들 앞에서 내 의견을 말하기가 부담스럽다.,여름,5,대전 아래 지방,2,3,10,아니오,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,10,3,일단 바로 해보는 성격,푸른 계열,해당 사항 없음,"물 또는 눈에서 하는 활동 (서핑, 수영, 워터파크, 스키, 썰매 등)","딸기, 한라봉, 수박, 복숭아","화전, 냉면, 빙수, 열무국수",1,24,여,남녀공학,해봤다.,적다.,편하지 않다,안함,내향형,경험이 없다.,있다,많다,1,중요하게 생각함,신경안씀,4.36,5,5,여,1,중간,0,0,0,참여 안함,20,1,.,30분
6-13-2024 17:21:24,예,중간,,,,,,,,D,,,,,남,173,1,1,3.7,2,1,내향성,5,3,개별 학습 선호,사용한다,1,0,0,21,재수강이 아니다.,남는자리,겨울,12월,대전 위 지방,5,10,1,아니오,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,4,7,신중하게 고민하는 성격,푸른 계열,해당 사항 없음,"물 또는 눈에서 하는 활동 (서핑, 수영, 워터파크, 스키, 썰매 등)","딸기, 한라봉, 수박, 복숭아","송편, 호빵, 군고구마, 팥죽",1,21,남,남녀공학,해봤다.,많다.,편하지 않다,안함,내향형,경험이 없다.,없다,적다,0,중요하게 생각함,신경안씀,3.7,5,5,남,3,중간,5,0,0,참여 안함,N/A,N/A,N/A,15
6-13-2024 18:04:40,예,뒤,,,,,,,,,,D,,,남,170,0.9,0.9,4.08,3,3,내향성,6,3,개별 학습 선호,사용한다,30,0,0,21,재수강이 아니다.,NA,봄,10,해당 사항 없음,5,3,7,아니오,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,5,7,신중하게 고민하는 성격,푸른 계열,"댄스, 랩, 힙합","실내 활동 (독서, 게임, 요가 등)","딸기, 한라봉, 수박, 복숭아",해당 사항 없음,2,22,남,남고/여고,해봤다.,적다.,편하지 않다,안함,내향형,경험이 없다.,있다,적다,NA,중요하게 생각 안함,신경씀,3.97,5,5,남,4,뒤,2,0,0,참여 안함,6,15,0,1
6-13-2024 18:31:52,아니오,앞,,,D,,,,,,,,,,여,163,0.9,1,4.37,4,3,내향성,2,4,개별 학습 선호,사용한다,30,0,0,22,재수강이 아니다.,교수님이 하시는 말씀이나 자료 화면이 잘 보이고 들리는 좌석에 앉는다.,가을,10,해당 사항 없음,4,3,4,아니오,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,4,6,신중하게 고민하는 성격,붉은 계열,"댄스, 랩, 힙합","실내 활동 (독서, 게임, 요가 등)","감, 배, 유자, 귤","화전, 냉면, 빙수, 열무국수",0,21,여,남고/여고,안해봤다.,적다.,편하다,안함,내향형,경험이 없다.,없다,적다,0,중요하게 생각함,신경안씀,4.46,5,5,여,5,앞,14,0,0,참여 안함,6,11,0,40
6-13-2024 18:34:34,아니오,중간,,,,,F,F,,,,,,,남,163cm,0.3,0.4,2. 98,4,4,외향성,0,4,그룹 학습 선호,사용하지 않는다,130,0,2,21,재수강이 아니다.,빛에 시력이 저하되기 때문에 칠판 또는 빔 프로젝터의 스크린 2미터 이상 떨어진 자리,가을,10,대전 위 지방,7,8,7,아니오,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,8,9,신중하게 고민하는 성격,푸른 계열,해당 사항 없음,"걷는 활동 (등산, 캠핑, 여행 등)","감, 배, 유자, 귤","송편, 호빵, 군고구마, 팥죽",6,21,남,남녀공학,해봤다.,많다.,편하다,함,외향형,경험이 없다.,있다,많다,모르겠습니다.,중요하게 생각 안함,신경씀,2. 93,5,4,남,5,앞,4,0,약 40회,참여함,18,0,2.93,160분
6-13-2024 18:35:00,아니오,앞,,E,,,,,,,,,,,여,158,1,0.7,4.39,4,3,내향성,혼자나 친구 1명,4,개별 학습 선호,사용한다,5분 전,0,2,22,재수강이 아니다.,ppt나 수업자료가 잘 보이면서 교수님 눈에 띄지 않는 자리,가을,8,대전 아래 지방,5,7,5,예,노랗게 물든 나무와 갈대가 있는 호수,4,6,일단 바로 해보는 성격,붉은 계열,클래식. 인디,"실내 활동 (독서, 게임, 요가 등)",해당 사항 없음,"화전, 냉면, 빙수, 열무국수",0,20,여,남고/여고,안해봤다.,많다.,편하지 않다,안함,내향형,경험이 없다.,없다,적다,0,중요하게 생각 안함,신경안씀,4.32,5,5,여,4,앞,1시간,0,0,참여함,6,5,9,30분
6-13-2024 18:40:10,아니오,앞,,,B,,,,,,,,,,여,158,1,1,3.72,1,2,외향성,5,3,그룹 학습 선호,사용한다,20,0,2,22,재수강이 아니다.,칠판이 잘 보이는지,가을,10,대전 위 지방,2,7,7,예,노랗게 물든 나무와 갈대가 있는 호수,5,7,일단 바로 해보는 성격,붉은 계열,"댄스, 랩, 힙합","실내 활동 (독서, 게임, 요가 등)","딸기, 한라봉, 수박, 복숭아","송편, 호빵, 군고구마, 팥죽",0,20,여,남고/여고,해봤다.,많다.,편하지 않다,안함,외향형,경험이 없다.,없다,적다,0,중요하게 생각함,신경씀,3.64,5,4,여,1,앞,1,10,3,참여 안함,18,0,0,40
6-13-2024 18:40:45,아니오,뒤,,,,,,,,,,,,F,남,174,0.9,0.2,2.98,2,2,내향성,0,2,개별 학습 선호,사용한다,10,1,1,19,재수강이 아니다.,교수님의 시선이 닿는지 안닿는지. 보통 안닿는곳에 착석,봄,4,대전 위 지방,6,6,6,아니오,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,3,6,일단 바로 해보는 성격,푸른 계열,해당 사항 없음,"실내 활동 (독서, 게임, 요가 등)","딸기, 한라봉, 수박, 복숭아","화전, 냉면, 빙수, 열무국수",3,25,남,남녀공학,안해봤다.,많다.,편하지 않다,안함,내향형,경험이 없다.,있다,많다,2,중요하게 생각함,신경씀,3,4,4,남,2,뒤,모름,15,머름,참여 안함,15,3,0,5분
6-13-2024 18:41:39,아니오,뒤,,,,,,,,,,,,F,여,163,1,1,3.4,3,3,내향성,2,3,개별 학습 선호,사용하지 않는다,30,0,2,22,재수강이 아니다.,편함,봄,2,대전 아래 지방,5,1,6,아니오,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,1,1,신중하게 고민하는 성격,푸른 계열,해당 사항 없음,"실내 활동 (독서, 게임, 요가 등)","딸기, 한라봉, 수박, 복숭아","송편, 호빵, 군고구마, 팥죽",0,21,여,남고/여고,안해봤다.,많다.,편하다,안함,내향형,경험이 없다.,없다,적다,0,중요하게 생각함,신경안씀,3.4,5,5,여,3,뒤,2,0,0,참여 안함,19,0,0,30
6-13-2024 18:42:22,아니오,앞,,,F,F,,,,,,,,,여,167,1,1,3.54,4,2,내향성,0,4,개별 학습 선호,사용한다,10,0,1,22,재수강이 아니다.,강의실 문에서 가까운 좌석으로 선택한다,겨울,3,해당 사항 없음,7,7,9,아니오,노랗게 물든 나무와 갈대가 있는 호수,6,5,일단 바로 해보는 성격,푸른 계열,"댄스, 랩, 힙합","걷는 활동 (등산, 캠핑, 여행 등)","딸기, 한라봉, 수박, 복숭아","화전, 냉면, 빙수, 열무국수",1,21,여,남고/여고,해봤다.,적다.,편하지 않다,안함,내향형,경험이 없다.,없다,적다,0,중요하게 생각함,신경씀,3.64,5,5,여,4,앞,시험 보기 전날 공부 시작해서 시간 평균 내기 어려움,8,0,참여 안함,15,2,0,왕복 3시간
6-13-2024 18:42:25,아니오,중간,,,,,C,,,,,,,,여,160,1,1,4.12,1,2,내향성,2명,3,개별 학습 선호,사용한다,10분 전,0,1,22,재수강이 아니다.,칠판(티비나 빔 등)이 잘 보이는가,가을,7,대전 위 지방,1,9,6,아니오,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,3,5,신중하게 고민하는 성격,푸른 계열,"댄스, 랩, 힙합","실내 활동 (독서, 게임, 요가 등)","딸기, 한라봉, 수박, 복숭아","송편, 호빵, 군고구마, 팥죽",0,20,여,남고/여고,안해봤다.,적다.,편하지 않다,안함,내향형,경험이 없다.,없다,적다,0,중요하게 생각함,신경안씀,3.89,5,5,여,2,앞,2,15 (근로),0,참여 안함,9,11,다전공 안 함,15~30분 내외
6-13-2024 18:43:05,아니오,중간,,,,,,,A,,,,,,여,165,1,1,3.8,3,3,내향성,3,3,개별 학습 선호,사용한다,"5,10",1,1,22,재수강이 아니다.,적당히 뒤,겨울,8,해당 사항 없음,6,3,7,아니오,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,2,5,신중하게 고민하는 성격,푸른 계열,클래식. 인디,"실내 활동 (독서, 게임, 요가 등)","딸기, 한라봉, 수박, 복숭아","송편, 호빵, 군고구마, 팥죽",0,20,여,남고/여고,안해봤다.,적다.,편하지 않다,안함,내향형,경험이 없다.,없다,적다,2,중요하게 생각 안함,신경씀,3.9,5,5,여,3,중간,3,17,1,참여 안함,17,12,0,50분
6-13-2024 18:46:01,아니오,앞,,A,,,,,,,,,,,여,162,0.9,0.9,4.43,5,5,내향성,3명,3,개별 학습 선호,사용한다,2,0,0,22,재수강이 아니다.,"교수님의 피피티 화면 글씨가 잘 보이는지, 교수님과 아이컨택 가능한 거리인지",가을,8,해당 사항 없음,4,8,9,예,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,4,8,신중하게 고민하는 성격,푸른 계열,해당 사항 없음,"실내 활동 (독서, 게임, 요가 등)","딸기, 한라봉, 수박, 복숭아","화전, 냉면, 빙수, 열무국수",0,20,여,남고/여고,해봤다.,적다.,편하지 않다,안함,내향형,경험이 없다.,있다,적다,0,중요하게 생각함,신경안씀,4.5,5,5,여,5,앞,2.5시간,15시간,3,참여 안함,6,14,0,1시간
6-13-2024 18:50:40,아니오,앞,,,,,A,,,,,,,,여,168,0.8,0.7,4.3,5,4,내향성,2,5,개별 학습 선호,사용한다,10분전,1,1,23,재수강이 아니다.,교수님 얼굴 보이는 곳,겨울,5,대전 아래 지방,7,6,8,아니오,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,7,8,일단 바로 해보는 성격,푸른 계열,"댄스, 랩, 힙합","걷는 활동 (등산, 캠핑, 여행 등)","딸기, 한라봉, 수박, 복숭아","화전, 냉면, 빙수, 열무국수",1,20,여,남녀공학,해봤다.,적다.,편하다,함,내향형,경험이 있다.,있다,적다,4,중요하게 생각함,신경씀,4.1,5,5,여,5,중간,5,0,6,참여 안함,3,6,0,15분
6-13-2024 18:53:50,아니오,앞,,D,,,,,,,,,,,여,154,0.7,0.7,3.39,2,1,내향성,0,2,개별 학습 선호,사용한다,10,0,2,22,재수강이 아니다.,"키가 작고, 칠판을 잘 보고 싶어서 앞에서 두세 번째 중앙 쪽에 앉는 편이에요. 그런데 40명 이상이 듣는 수업인데 작은 강의실에서 듣고, 기차 시간 때문에 더 일찍 강의실에 도착하는 게 힘들다 보니 그냥 빈자리에 앉는 경우도 많아요.",겨울,7,대전 아래 지방,5,8,8,예,노랗게 물든 나무와 갈대가 있는 호수,2,6,신중하게 고민하는 성격,푸른 계열,클래식. 인디,"실내 활동 (독서, 게임, 요가 등)","감, 배, 유자, 귤","화전, 냉면, 빙수, 열무국수",0,20,여,남녀공학,해봤다.,많다.,편하다,안함,내향형,경험이 없다.,없다,많다,1,중요하게 생각 안함,신경안씀,3.06,4,2,여,2,앞,10분,0,5,참여 안함,15,0,0,2.5시간
6-13-2024 19:00:32,아니오,뒤,,,,,,,,,,,,A,여,163cm,0.6,0.6,3.5,1,1,내향성,0,4,개별 학습 선호,사용한다,정시,0,1,21,재수강이 아니다.,"교수님이 좋아서 수업에 열심히 참여하고 싶거나, 조별 과제에 참여해야 하면 앞쪽에 앉습니다. 수업을 듣지 않아도 성적에 직접적으로 영향이 없다고 생각하면 가능한 뒤에 앉습니다.",가을,3,대전 위 지방,5,7,4,아니오,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,2,8,신중하게 고민하는 성격,푸른 계열,"댄스, 랩, 힙합","실내 활동 (독서, 게임, 요가 등)","딸기, 한라봉, 수박, 복숭아","화전, 냉면, 빙수, 열무국수",0,22,여,남녀공학,안해봤다.,적다.,편하다,안함,내향형,경험이 없다.,없다,적다,0,중요하게 생각함,신경씀,,,,,,,,,,,,,,
6-13-2024 19:04:24,아니오,앞,,,D,,,,,,,,,,여,155,1,1,4.5,4,5,외향성,3,5,개별 학습 선호,사용한다,5,0,1,22,재수강이 아니다.,수업을 들을지 말지 여부 (수업을 듣지 않고 ppt만 보고 공부해도 좋은 점수를 받을 수 있는 경우 뒷 자리에 앉아 다른 과제를 함),봄,5,해당 사항 없음,5,10,1,아니오,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,8,8,일단 바로 해보는 성격,푸른 계열,"댄스, 랩, 힙합","물 또는 눈에서 하는 활동 (서핑, 수영, 워터파크, 스키, 썰매 등)","딸기, 한라봉, 수박, 복숭아","송편, 호빵, 군고구마, 팥죽",2,23,여,남녀공학,해봤다.,많다.,편하다,함,외향형,경험이 없다.,없다,적다,5,중요하게 생각함,신경씀,4.5,5,5,여,5,앞,5,0,5,참여함,18,3,15,10분 이내
6-13-2024 19:15:57,아니오,앞,,,C,,,,,,,,,,여,161,0.4,0.4,4.14,4,3,내향성,2,3,개별 학습 선호,사용한다,20,0,2,22,재수강이 아니다.,"교수님이 화면에 띄우는 강의 자료를 보기에 적합한 위치, 교수님의 말이 잘 들리는 위치, 교수님과 시선 맞추는 데 부담스럽지 않은 위치… 등과 같은 주관적인 요소",겨울,2,대전 위 지방,5,10,10,아니오,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,3,4,일단 바로 해보는 성격,푸른 계열,"댄스, 랩, 힙합","실내 활동 (독서, 게임, 요가 등)",해당 사항 없음,"화전, 냉면, 빙수, 열무국수",7,20,여,남고/여고,해봤다.,적다.,편하다,안함,내향형,경험이 없다.,있다,적다,2,중요하게 생각 안함,신경안씀,4.5,5,5,여,3,앞,2,18,0,참여 안함,15,4,0,1시간 30분
6-13-2024 19:15:58,아니오,중간,,,,,,,D,,,,,,여,167,0.2,0.9,3.61,5,4,외향성,5,4,개별 학습 선호,사용한다,20,0,2,22,재수강이 아니다.,,봄,4,대전 위 지방,7,2,7,예,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,7,9,일단 바로 해보는 성격,붉은 계열,"댄스, 랩, 힙합","실내 활동 (독서, 게임, 요가 등)","딸기, 한라봉, 수박, 복숭아","화전, 냉면, 빙수, 열무국수",2,21,여,남고/여고,해봤다.,적다.,편하다,안함,외향형,경험이 없다.,없다,적다,4,중요하게 생각함,신경씀,3.64,5,4,여,5,중간,3,12,,참여함,,,,
6-13-2024 20:08:12,예,중간,,,,,,B,,,,,,,남,178,1,1,3,3,3,내향성,6,3,개별 학습 선호,사용한다,5분전,1,1,21,재수강이 아니다.,중간이 좋다,봄,1,해당 사항 없음,5,8,5,아니오,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,9,4,일단 바로 해보는 성격,붉은 계열,"댄스, 랩, 힙합","실내 활동 (독서, 게임, 요가 등)","딸기, 한라봉, 수박, 복숭아","화전, 냉면, 빙수, 열무국수",2,21,남,남녀공학,해봤다.,적다.,편하다,안함,내향형,경험이 없다.,있다,많다,0,중요하게 생각함,신경안씀,1.7,3,3,남,4,중간,2,0,0,참여 안함,2,2,0,20분
6-13-2024 20:12:11,아니오,앞,,,"A, C, D",,,,,,,,,,남,163,1,1,0,2,3,내향성,1,5,개별 학습 선호,사용한다,5,1,2,22,재수강이 아니다.,"친한사람주변, 창가, 앞쪽",가을,4,해당 사항 없음,5,7,9,아니오,노랗게 물든 나무와 갈대가 있는 호수,4,7,신중하게 고민하는 성격,푸른 계열,해당 사항 없음,"실내 활동 (독서, 게임, 요가 등)","딸기, 한라봉, 수박, 복숭아","화전, 냉면, 빙수, 열무국수",0,21,남,남녀공학,안해봤다.,많다.,편하지 않다,함,내향형,경험이 없다.,없다,적다,3,중요하게 생각함,신경씀,,,,,,,,,,,,,,
6-13-2024 20:31:47,예,뒤,,,,,,,,,A,,,,남,183,0.8,0.7,4.06,2,3,내향성,0,2,개별 학습 선호,사용한다,5분전,0,2,23,재수강이 아니다.,,가을,11,대전 아래 지방,5,6,1,아니오,노랗게 물든 나무와 갈대가 있는 호수,8,2,신중하게 고민하는 성격,푸른 계열,해당 사항 없음,"실내 활동 (독서, 게임, 요가 등)","딸기, 한라봉, 수박, 복숭아","송편, 호빵, 군고구마, 팥죽",1,21,남,남녀공학,해봤다.,많다.,편하다,안함,내향형,경험이 없다.,없다,많다,9,중요하게 생각함,신경안씀,4.11,5,5,남,5,앞,1시간,0시간,0,참여 안함,14,0,0,10분
6-13-2024 21:12:42,아니오,뒤,,,,,,,,"B, C",,,,,여,160,1,1,1,2,2,외향성,1,3,그룹 학습 선호,사용한다,10,0,1,22,재수강이 아니다.,교수님과의 친밀도,겨울,5,대전 위 지방,7,8,1,예,노랗게 물든 나무와 갈대가 있는 호수,10,10,신중하게 고민하는 성격,푸른 계열,해당 사항 없음,해당 사항 없음,해당 사항 없음,"송편, 호빵, 군고구마, 팥죽",6,21,여,남녀공학,해봤다.,많다.,편하지 않다,함,외향형,경험이 없다.,있다,적다,30? 한 명 한 명 세기가.. 어렵다.. 50..?,중요하게 생각함,신경씀,3.6,4,5,여,4,중간,,32,주 2회,참여함,15,,3,0.15-0.30
6-13-2024 22:33:22,예,중간,,,,,,D,,,,,,,남,177,0.9,0.9,3.58,4,1,내향성,0,3,개별 학습 선호,사용하지 않는다,5,0,1,21,재수강이 아니다.,남는 자리,봄,8,해당 사항 없음,6,9,1,예,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,2,5,일단 바로 해보는 성격,붉은 계열,"댄스, 랩, 힙합","실내 활동 (독서, 게임, 요가 등)","딸기, 한라봉, 수박, 복숭아","화전, 냉면, 빙수, 열무국수",1,21,남,남녀공학,해봤다.,적다.,편하다,안함,내향형,경험이 없다.,없다,많다,0,중요하게 생각함,신경씀,3.73,5,4,남,5,중간,2,0,0,참여 안함,6,12,0,30분
6-14-2024 0:01:03,예,뒤,,,,,,,,,,,,B,남,183,0.4,0.4,3.32,3,4,내향성,4,4,개별 학습 선호,사용한다,15분전,1,1,21,재수강이 아니다.,앞이 잘보이는곳,봄,2,대전 위 지방,2,6,6,아니오,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,8,8,일단 바로 해보는 성격,푸른 계열,해당 사항 없음,"실내 활동 (독서, 게임, 요가 등)","딸기, 한라봉, 수박, 복숭아","화전, 냉면, 빙수, 열무국수",4번,22,남,남녀공학,해봤다.,많다.,편하지 않다,안함,내향형,경험이 있다.,있다,적다,0명,중요하게 생각함,신경씀,3.32,5,5,남,3,뒤,2시간,토:7시간 일:7시간,0회,참여 안함,6,14,0,15분
6-14-2024 1:15:18,아니오,앞,,C,,,,,,,,,,,여,160,0.9,0.8,3.6,3,1,내향성,9,4,개별 학습 선호,사용한다,5,0,1,22,재수강이 아니다.,앞에 화면이 잘 보이는가,가을,10,대전 위 지방,5,7,5,아니오,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,1,1,일단 바로 해보는 성격,푸른 계열,클래식. 인디,"실내 활동 (독서, 게임, 요가 등)","딸기, 한라봉, 수박, 복숭아","송편, 호빵, 군고구마, 팥죽",7,20,여,남고/여고,해봤다.,많다.,편하다,안함,내향형,경험이 없다.,있다,적다,3,중요하게 생각함,신경씀,3.7,4,5,여,3,앞,0,0,0,참여 안함,21,0,0,1시간 
6-14-2024 13:33:14,예,뒤,,,,,,,C,,,C,,,남,173,1,1,4,3,1,내향성,6,5,개별 학습 선호,사용한다,10,0,2,21,재수강이 아니다.,,겨울,3,해당 사항 없음,5,7,3,아니오,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,3,3,일단 바로 해보는 성격,푸른 계열,해당 사항 없음,해당 사항 없음,"딸기, 한라봉, 수박, 복숭아","송편, 호빵, 군고구마, 팥죽",3,22,남,남고/여고,안해봤다.,적다.,편하다,안함,내향형,경험이 없다.,있다,적다,4,중요하게 생각 안함,신경안씀,4,5,5,남,2,뒤,3,18,0,참여 안함,6,12,0,1
